Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

12:51:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:25 PM  1000      2244    1.96    0.98    0.00    0.00    2.94     6  gnome-shell
12:51:25 PM  1000     31476    0.00    0.98    0.00    0.00    0.98     1  Socket Process
12:51:25 PM  1000     31777    0.98    0.00    0.00    0.00    0.98     6  Isolated Web Co
12:51:25 PM     0     32452    0.00    2.94    0.00    0.00    2.94     5  kworker/u32:3-events_unbound
12:51:25 PM  1000     32490   25.49   19.61    0.00    0.00   45.10     3  gnome-terminal-
12:51:25 PM  1000     32683    0.98    0.98    0.00    0.00    1.96     4  top
12:51:25 PM  1000     33372    0.98    0.00    0.00    0.00    0.98     2  nautilus
12:51:25 PM     0     33399    0.00    0.98    0.00    0.00    0.98     6  kworker/u32:2-events_unbound
12:51:25 PM     0     33725    0.00    1.96    0.00    0.00    1.96     4  kworker/u32:4-events_unbound
12:51:25 PM  1000     33852   70.59   21.57    0.00    0.00   92.16     0  server
12:51:25 PM   122     33853    0.98    0.00    0.00    0.00    0.98     5  postgres
12:51:25 PM   122     33856    0.98    0.00    0.00    0.00    0.98     7  postgres
12:51:25 PM   122     33857    0.98    0.00    0.00    0.00    0.98     4  postgres
12:51:25 PM   122     33858    0.98    0.00    0.00    0.00    0.98     7  postgres
12:51:25 PM   122     33863    0.98    0.00    0.00    0.00    0.98     1  postgres
12:51:25 PM   122     33865    0.98    0.00    0.00    0.00    0.98     1  postgres
12:51:25 PM   122     33869    0.98    0.00    0.00    0.00    0.98     7  postgres
12:51:25 PM   122     33870    0.98    0.00    0.00    0.00    0.98     7  postgres
12:51:25 PM   122     33874    0.98    0.00    0.00    0.00    0.98     6  postgres
12:51:25 PM   122     33878    0.98    0.00    0.00    0.00    0.98     6  postgres
12:51:25 PM   122     33881    0.98    0.00    0.00    0.00    0.98     3  postgres
12:51:25 PM   122     33889    0.98    0.00    0.00    0.00    0.98     1  postgres
12:51:25 PM   122     33893    0.98    0.00    0.00    0.00    0.98     6  postgres
12:51:25 PM   122     33897    0.98    0.00    0.00    0.00    0.98     1  postgres
12:51:25 PM   122     33905    0.98    0.00    0.00    0.00    0.98     7  postgres
12:51:25 PM   122     33908    0.98    0.00    0.00    0.00    0.98     5  postgres
12:51:25 PM   122     33910    0.98    0.00    0.00    0.00    0.98     6  postgres
12:51:25 PM   122     33911    0.98    0.00    0.00    0.00    0.98     5  postgres
12:51:25 PM   122     33913    0.98    0.00    0.00    0.00    0.98     5  postgres
12:51:25 PM   122     33918    0.98    0.00    0.00    0.00    0.98     3  postgres
12:51:25 PM   122     33920    0.98    0.00    0.00    0.00    0.98     7  postgres
12:51:25 PM   122     33921    0.98    0.00    0.00    0.00    0.98     6  postgres
