Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

01:09:55 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:09:56 PM     0        18    0.00    0.97    0.00    0.00    0.97     2  rcu_preempt
01:09:56 PM  1000      2244   11.65    3.88    0.00    0.00   15.53     7  gnome-shell
01:09:56 PM  1000      2401    2.91    0.00    0.00    0.00    2.91     1  ibus-daemon
01:09:56 PM  1000      2586    0.97    0.00    0.00    0.97    0.97     6  ibus-extension-
01:09:56 PM  1000      2815    0.00    0.97    0.00    0.00    0.97     3  xdg-desktop-por
01:09:56 PM  1000     32400    0.97    0.00    0.00    0.00    0.97     4  cpptools
01:09:56 PM  1000     32490   13.59    0.97    0.00    0.00   14.56     3  gnome-terminal-
01:09:56 PM  1000     33372    0.97    0.00    0.00    0.00    0.97     6  nautilus
01:09:56 PM     0     34552    0.00    0.97    0.00    0.00    0.97     6  kworker/u32:3-events_unbound
01:09:56 PM     0     34996    0.00    0.97    0.00    0.00    0.97     4  kworker/u32:4-events_unbound
01:09:56 PM  1000     34999    0.97    1.94    0.00    0.00    2.91     0  pidstat

01:09:56 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:09:57 PM     0        17    0.00    1.01    0.00    0.00    1.01     0  ksoftirqd/0
01:09:57 PM     0        45    0.00    1.01    0.00    0.00    1.01     4  ksoftirqd/4
01:09:57 PM     0        74    0.00    5.05    0.00    0.00    5.05     4  kcompactd0
01:09:57 PM   123      1231    1.01    1.01    0.00    0.00    2.02     6  mysqld
01:09:57 PM     0      1651    1.01    0.00    0.00    0.00    1.01     5  upowerd
01:09:57 PM  1000      2244   11.11    4.04    0.00    0.00   15.15     7  gnome-shell
01:09:57 PM  1000     29425    1.01    0.00    0.00    0.00    1.01     5  code
01:09:57 PM  1000     31254    0.00    1.01    0.00    0.00    1.01     6  firefox
01:09:57 PM  1000     31777    1.01    0.00    0.00    0.00    1.01     4  Isolated Web Co
01:09:57 PM  1000     31779    1.01    1.01    0.00    0.00    2.02     6  Isolated Web Co
01:09:57 PM     0     32339    0.00    1.01    0.00    0.00    1.01     3  kworker/u32:0-events_unbound
01:09:57 PM     0     32459    0.00    1.01    0.00    0.00    1.01     0  kworker/0:1-events
01:09:57 PM  1000     32490   30.30    9.09    0.00    1.01   39.39     3  gnome-terminal-
01:09:57 PM  1000     32683    0.00    1.01    0.00    0.00    1.01     2  top
01:09:57 PM     0     33259    0.00    1.01    0.00    0.00    1.01     6  kworker/u33:3-i915_flip
01:09:57 PM     0     33399    0.00    2.02    0.00    0.00    2.02     5  kworker/u32:2-events_unbound
01:09:57 PM     0     34552    0.00    2.02    0.00    0.00    2.02     7  kworker/u32:3-events_unbound
01:09:57 PM  1000     34894   42.42   16.16    0.00    0.00   58.59     0  server
01:09:57 PM  1000     34999    0.00    1.01    0.00    0.00    1.01     2  pidstat
01:09:57 PM  1000     35001   49.49   17.17    0.00    0.00   66.67     1  load_generator

01:09:57 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:09:58 PM     0        17    0.00    1.00    0.00    0.00    1.00     0  ksoftirqd/0
01:09:58 PM     0       496    0.00    1.00    0.00    0.00    1.00     0  irq/80-ELAN0620:01
01:09:58 PM     0       730    0.00    1.00    0.00    0.00    1.00     0  irq/135-rtw88_pci
01:09:58 PM   101       767    1.00    0.00    0.00    0.00    1.00     2  dbus-daemon
01:09:58 PM     0       860    1.00    0.00    0.00    0.00    1.00     1  NetworkManager
01:09:58 PM     0       866    1.00    0.00    0.00    0.00    1.00     7  wpa_supplicant
01:09:58 PM  1000      2244   19.00    5.00    0.00    0.00   24.00     5  gnome-shell
01:09:58 PM  1000     31777    1.00    0.00    0.00    0.00    1.00     6  Isolated Web Co
01:09:58 PM     0     32339    0.00    3.00    0.00    0.00    3.00     2  kworker/u32:0-events_unbound
01:09:58 PM  1000     32490   45.00   17.00    0.00    0.00   62.00     1  gnome-terminal-
01:09:58 PM     0     33399    0.00    2.00    0.00    0.00    2.00     4  kworker/u32:2-events_unbound
01:09:58 PM  1000     34894   66.00   25.00    0.00    0.00   91.00     0  server
01:09:58 PM   122     34895    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:58 PM   122     34904    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:58 PM   122     34932    1.00    0.00    0.00    0.00    1.00     2  postgres
01:09:58 PM   122     34960    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:58 PM     0     34996    0.00    1.00    0.00    0.00    1.00     5  kworker/u32:4-events_unbound
01:09:58 PM  1000     34999    1.00    2.00    0.00    0.00    3.00     3  pidstat
01:09:58 PM  1000     35001   73.00   30.00    0.00    0.00  103.00     1  load_generator

01:09:58 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:09:59 PM     0        94    0.00    2.00    0.00    0.00    2.00     6  kswapd0
01:09:59 PM     0       189    0.00    1.00    0.00    0.00    1.00     6  kworker/6:1H-i915_cleanup
01:09:59 PM   123      1231    1.00    0.00    0.00    0.00    1.00     6  mysqld
01:09:59 PM  1000      2244   18.00    6.00    0.00    1.00   24.00     7  gnome-shell
01:09:59 PM  1000      2401    1.00    0.00    0.00    0.00    1.00     6  ibus-daemon
01:09:59 PM  1000      2730    0.00    1.00    0.00    0.00    1.00     7  ibus-engine-sim
01:09:59 PM  1000      2814    1.00    0.00    0.00    0.00    1.00     3  tracker-miner-f
01:09:59 PM     0     32339    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:0-events_unbound
01:09:59 PM     0     32459    0.00    1.00    0.00    1.00    1.00     0  kworker/0:1-i915-unordered
01:09:59 PM  1000     32490   42.00   18.00    0.00    1.00   60.00     4  gnome-terminal-
01:09:59 PM     0     33259    0.00    1.00    0.00    0.00    1.00     6  kworker/u33:3-i915_flip
01:09:59 PM     0     33399    0.00    1.00    0.00    1.00    1.00     6  kworker/u32:2-events_unbound
01:09:59 PM  1000     33605    1.00    0.00    0.00    0.00    1.00     6  code
01:09:59 PM  1000     34894   68.00   20.00    0.00    0.00   88.00     0  server
01:09:59 PM   122     34896    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34897    1.00    0.00    0.00    0.00    1.00     2  postgres
01:09:59 PM   122     34907    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34908    1.00    0.00    0.00    0.00    1.00     4  postgres
01:09:59 PM   122     34909    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34911    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34912    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34917    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34924    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34925    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34926    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34928    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34929    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34936    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34937    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34938    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34939    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34942    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34951    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34952    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34953    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34954    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34955    1.00    0.00    0.00    0.00    1.00     3  postgres
01:09:59 PM   122     34957    1.00    0.00    0.00    0.00    1.00     1  postgres
