Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/20/2025 	_x86_64_	(8 CPU)

10:49:38 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:49:39 AM     0        18    0.00    0.88    0.00    0.00    0.88     2  rcu_preempt
10:49:39 AM  1000      2138    0.88    0.00    0.00    0.00    0.88     3  gnome-shell
10:49:39 AM  1000      2616    0.88    0.00    0.00    0.00    0.88     5  ibus-engine-sim
10:49:39 AM  1000      2852    0.00    0.88    0.00    0.00    0.88     5  code
10:49:39 AM  1000      3195    0.88    0.00    0.00    0.00    0.88     4  code
10:49:39 AM  1000      4344    0.88    0.00    0.00    0.00    0.88     5  Privileged Cont
10:49:39 AM  1000      4529   25.66   23.89    0.00    0.00   49.56     3  gnome-terminal-
10:49:39 AM  1000      6605    2.65    5.31    0.00    0.00    7.96     5  nautilus
10:49:39 AM     0      7137    0.00    0.88    0.00    0.00    0.88     5  kworker/u32:0-events_unbound
10:49:39 AM     0      7180    0.00    0.88    0.00    0.00    0.88     0  kworker/0:1-events_freezable
10:49:39 AM     0      7202    0.00    4.42    0.00    0.88    4.42     3  kworker/u32:27-events_unbound
10:49:39 AM     0      8297    0.00    3.54    0.00    0.00    3.54     4  kworker/u32:1-events_unbound
10:49:39 AM  1000      8897   64.60   29.20    0.00    0.00   93.81     0  server
10:49:39 AM   122      8902    0.00    0.88    0.00    0.00    0.88     6  postgres
10:49:39 AM   122      8903    0.88    0.00    0.00    0.00    0.88     2  postgres
10:49:39 AM   122      8904    0.88    0.00    0.00    0.00    0.88     5  postgres
10:49:39 AM   122      8906    0.00    0.88    0.00    0.00    0.88     3  postgres
10:49:39 AM   122      8910    0.88    0.00    0.00    0.00    0.88     1  postgres
10:49:39 AM   122      8916    0.00    0.88    0.00    0.00    0.88     7  postgres
10:49:39 AM   122      8918    0.88    0.88    0.00    0.00    1.77     5  postgres
10:49:39 AM   122      8920    0.00    0.88    0.00    0.00    0.88     1  postgres
10:49:39 AM   122      8921    0.00    0.88    0.00    0.00    0.88     7  postgres
10:49:39 AM   122      8922    0.88    0.00    0.00    0.00    0.88     3  postgres
10:49:39 AM   122      8923    0.88    0.00    0.00    0.00    0.88     3  postgres
10:49:39 AM   122      8924    0.88    0.00    0.00    0.00    0.88     1  postgres
10:49:39 AM   122      8928    0.88    0.00    0.00    0.00    0.88     6  postgres
10:49:39 AM   122      8930    0.88    0.00    0.00    0.00    0.88     6  postgres
10:49:39 AM   122      8932    0.88    0.00    0.00    0.00    0.88     1  postgres
10:49:39 AM   122      8933    0.88    0.00    0.00    0.00    0.88     7  postgres
10:49:39 AM   122      8938    0.88    0.00    0.00    0.00    0.88     4  postgres
10:49:39 AM   122      8939    0.88    0.00    0.00    0.00    0.88     5  postgres
10:49:39 AM   122      8940    0.88    0.00    0.00    0.00    0.88     6  postgres
