Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/20/2025 	_x86_64_	(8 CPU)

11:20:38 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:20:39 AM     0        18    0.00    0.90    0.00    0.00    0.90     4  rcu_preempt
11:20:39 AM   101       759    1.80    0.00    0.00    0.90    1.80     7  dbus-daemon
11:20:39 AM     0       851    1.80    0.90    0.00    0.00    2.70     6  NetworkManager
11:20:39 AM  1000      2138    5.41    1.80    0.00    0.00    7.21     5  gnome-shell
11:20:39 AM  1000      2699    0.90    0.00    0.00    0.00    0.90     7  xdg-desktop-por
11:20:39 AM  1000      3195    0.00    0.90    0.00    0.00    0.90     2  code
11:20:39 AM  1000      4529   30.63   21.62    0.00    0.00   52.25     2  gnome-terminal-
11:20:39 AM  1000      6605    1.80    0.90    0.00    0.00    2.70     1  nautilus
11:20:39 AM     0      7137    0.00    1.80    0.00    0.00    1.80     7  kworker/u32:0-events_unbound
11:20:39 AM     0      7178    0.00    3.60    0.00    0.00    3.60     6  kworker/u32:4-events_unbound
11:20:39 AM     0      7180    0.00    0.90    0.00    0.00    0.90     0  kworker/0:1-i915-unordered
11:20:39 AM     0      8804    0.00    5.41    0.00    0.00    5.41     4  kworker/u32:2-events_unbound
11:20:39 AM  1000     11667    1.80    0.00    0.00    0.00    1.80     5  gnome-control-c
11:20:39 AM  1000     11828   71.17   25.23    0.00    0.00   96.40     0  server
11:20:39 AM   122     11830    0.90    0.00    0.00    0.00    0.90     3  postgres
11:20:39 AM   122     11832    0.00    0.90    0.00    0.00    0.90     4  postgres
11:20:39 AM   122     11834    0.90    0.00    0.00    0.00    0.90     2  postgres
11:20:39 AM   122     11837    0.00    0.90    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11843    0.00    0.90    0.00    0.00    0.90     5  postgres
11:20:39 AM   122     11844    0.90    0.00    0.00    0.00    0.90     2  postgres
11:20:39 AM   122     11849    0.90    0.00    0.00    0.00    0.90     7  postgres
11:20:39 AM   122     11850    0.90    0.00    0.00    0.00    0.90     5  postgres
11:20:39 AM   122     11855    0.00    0.90    0.00    0.00    0.90     5  postgres
11:20:39 AM   122     11858    0.90    0.00    0.00    0.00    0.90     7  postgres
11:20:39 AM   122     11862    0.90    0.90    0.00    0.00    1.80     3  postgres
11:20:39 AM   122     11863    0.90    0.00    0.00    0.00    0.90     3  postgres
11:20:39 AM   122     11864    0.90    0.90    0.00    0.00    1.80     2  postgres
11:20:39 AM   122     11865    0.90    0.00    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11866    0.00    0.90    0.00    0.00    0.90     4  postgres
11:20:39 AM   122     11867    0.90    0.00    0.00    0.00    0.90     3  postgres
11:20:39 AM   122     11870    0.90    0.00    0.00    0.00    0.90     3  postgres
11:20:39 AM   122     11873    0.00    0.90    0.00    0.00    0.90     3  postgres
11:20:39 AM   122     11876    0.90    0.00    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11877    0.90    0.00    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11879    0.00    0.90    0.00    0.00    0.90     7  postgres
11:20:39 AM   122     11880    0.90    0.00    0.00    0.00    0.90     1  postgres
11:20:39 AM   122     11881    0.90    0.00    0.00    0.00    0.90     5  postgres
11:20:39 AM   122     11886    0.90    0.00    0.00    0.00    0.90     7  postgres
11:20:39 AM   122     11887    0.90    0.00    0.00    0.00    0.90     3  postgres
11:20:39 AM   122     11889    0.00    0.90    0.00    0.00    0.90     3  postgres
11:20:39 AM   122     11890    0.90    0.00    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11891    0.00    0.90    0.00    0.00    0.90     7  postgres
11:20:39 AM   122     11892    0.90    0.90    0.00    0.00    1.80     5  postgres
11:20:39 AM   122     11894    0.90    0.00    0.00    0.00    0.90     5  postgres
11:20:39 AM   122     11897    0.90    0.90    0.00    0.00    1.80     6  postgres
11:20:39 AM   122     11898    0.00    0.90    0.00    0.00    0.90     7  postgres
11:20:39 AM   122     11899    0.90    0.00    0.00    0.00    0.90     3  postgres
11:20:39 AM   122     11901    0.90    0.90    0.00    0.00    1.80     2  postgres
11:20:39 AM   122     11903    0.90    0.00    0.00    0.00    0.90     2  postgres
11:20:39 AM   122     11906    0.90    0.00    0.00    0.00    0.90     7  postgres
11:20:39 AM   122     11910    0.00    0.90    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11911    0.90    0.00    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11912    0.00    0.90    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11913    0.00    0.90    0.00    0.00    0.90     6  postgres
11:20:39 AM   122     11917    0.90    0.00    0.00    0.00    0.90     6  postgres
11:20:39 AM  1000     11928   84.68   37.84    0.00    0.00  122.52     2  load_generator
11:20:39 AM  1000     11951    2.70    3.60    0.00    0.00    6.31     7  pidstat

11:20:39 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:20:40 AM   990       747    0.00    1.00    0.00    0.00    1.00     5  systemd-oomd
11:20:40 AM     0       859    0.00    2.00    0.00    0.00    2.00     1  wpa_supplicant
11:20:40 AM  1000      2138    8.00    4.00    0.00    1.00   12.00     6  gnome-shell
11:20:40 AM  1000      2307    3.00    0.00    0.00    0.00    3.00     1  ibus-daemon
11:20:40 AM  1000      2507    2.00    1.00    0.00    0.00    3.00     4  ibus-extension-
11:20:40 AM  1000      2616    1.00    0.00    0.00    0.00    1.00     5  ibus-engine-sim
11:20:40 AM  1000      3862    2.00    1.00    0.00    0.00    3.00     1  firefox
11:20:40 AM  1000      4391    1.00    0.00    0.00    0.00    1.00     6  Isolated Web Co
11:20:40 AM  1000      4529   27.00   25.00    0.00    1.00   52.00     2  gnome-terminal-
11:20:40 AM     0      7137    0.00    2.00    0.00    1.00    2.00     2  kworker/u32:0-events_unbound
11:20:40 AM     0      7178    0.00    2.00    0.00    0.00    2.00     1  kworker/u32:4-events_unbound
11:20:40 AM  1000      7401    2.00    2.00    0.00    0.00    4.00     5  top
11:20:40 AM     0      8804    0.00    4.00    0.00    1.00    4.00     5  kworker/u32:2-events_unbound
11:20:40 AM  1000     11667    1.00    1.00    0.00    0.00    2.00     1  gnome-control-c
11:20:40 AM  1000     11828   69.00   26.00    0.00    0.00   95.00     0  server
11:20:40 AM   122     11830    0.00    1.00    0.00    0.00    1.00     1  postgres
11:20:40 AM   122     11832    1.00    0.00    0.00    0.00    1.00     1  postgres
11:20:40 AM   122     11833    1.00    0.00    0.00    0.00    1.00     7  postgres
11:20:40 AM   122     11838    1.00    0.00    0.00    0.00    1.00     4  postgres
11:20:40 AM   122     11840    1.00    0.00    0.00    0.00    1.00     5  postgres
11:20:40 AM   122     11841    1.00    0.00    0.00    0.00    1.00     5  postgres
11:20:40 AM   122     11842    1.00    0.00    0.00    0.00    1.00     5  postgres
11:20:40 AM   122     11845    1.00    0.00    0.00    0.00    1.00     1  postgres
11:20:40 AM   122     11847    0.00    1.00    0.00    0.00    1.00     5  postgres
11:20:40 AM   122     11848    1.00    0.00    0.00    0.00    1.00     5  postgres
11:20:40 AM   122     11855    1.00    0.00    0.00    0.00    1.00     6  postgres
11:20:40 AM   122     11865    0.00    1.00    0.00    0.00    1.00     6  postgres
11:20:40 AM   122     11871    1.00    0.00    0.00    0.00    1.00     4  postgres
11:20:40 AM   122     11873    1.00    0.00    0.00    0.00    1.00     7  postgres
11:20:40 AM   122     11879    1.00    0.00    0.00    0.00    1.00     7  postgres
11:20:40 AM   122     11882    1.00    0.00    0.00    0.00    1.00     7  postgres
11:20:40 AM   122     11891    1.00    0.00    0.00    0.00    1.00     2  postgres
